Nh1,Nh2,Optimizer,Val_Loss
256,169,RMSprop,0.1644278347492218
309,196,RMSprop,0.1648407459259033
173,169,RMSprop,0.16499776840209962
262,361,RMSprop,0.16504405438899994
398,256,RMSprop,0.1664137750864029
309,121,RMSprop,0.16663176119327544
339,361,RMSprop,0.16770126223564147
262,169,RMSprop,0.17019748091697692
398,144,RMSprop,0.17084853500127792
256,256,RMSprop,0.17107688188552855
361,400,RMSprop,0.1718252956867218
173,400,RMSprop,0.1727159857749939
361,361,RMSprop,0.17389263212680817
398,289,RMSprop,0.1739760160446167
361,289,RMSprop,0.17447549104690552
361,225,RMSprop,0.17482089698314668
376,225,RMSprop,0.17572910487651824
280,361,RMSprop,0.17671720087528228
309,256,RMSprop,0.17841050922870635
122,121,RMSprop,0.17977210879325867
173,324,RMSprop,0.180022531747818
173,196,RMSprop,0.18112094402313234
256,196,RMSprop,0.1818824142217636
376,400,RMSprop,0.18203052282333373
361,144,RMSprop,0.18480786681175232
398,225,RMSprop,0.18493964076042174
398,400,RMSprop,0.1851850926876068
173,256,RMSprop,0.18581231832504272
262,225,RMSprop,0.18640045523643495
361,256,RMSprop,0.18646364361047746
122,225,RMSprop,0.19023895859718323
376,169,RMSprop,0.19142217934131622
262,400,RMSprop,0.19151305705308913
122,361,RMSprop,0.19178245961666107
280,196,RMSprop,0.19260971993207932
280,400,RMSprop,0.19328329265117644
339,289,RMSprop,0.19371134638786316
376,256,RMSprop,0.19629626870155334
339,169,RMSprop,0.1966506838798523
122,256,RMSprop,0.1969023197889328
309,400,RMSprop,0.19911599159240723
256,400,RMSprop,0.19962645471096038
361,169,RMSprop,0.20020257830619811
122,289,RMSprop,0.2007240355014801
256,324,RMSprop,0.20201598405838012
122,324,RMSprop,0.20493335723876954
122,400,RMSprop,0.2050764113664627
280,225,RMSprop,0.20826866626739501
280,324,RMSprop,0.21005111634731294
309,324,RMSprop,0.2112007737159729
376,289,RMSprop,0.21517485976219178
309,144,RMSprop,0.21903872787952422
309,169,RMSprop,0.21956886947155
173,225,RMSprop,0.2206244170665741
376,324,RMSprop,0.23842722177505493
398,361,RMSprop,0.256406806409359
376,361,RMSprop,0.2642751395702362
339,256,RMSprop,0.2769168019294739
256,144,RMSprop,0.3093458294868469
262,289,RMSprop,0.3320871263742447
173,144,RMSprop,0.34310168623924253
339,225,RMSprop,0.519381134212017
398,196,RMSprop,0.5309412404894829
173,361,RMSprop,0.5327311679720879
122,169,RMSprop,0.6273910850286484
280,289,RMSprop,0.7039684548974037
262,121,RMSprop,0.7742897868156433
280,256,RMSprop,1.0119736343622208
361,324,RMSprop,1.0964899212121964
339,400,RMSprop,1.6139797687530517
262,324,RMSprop,4.731197583675384
339,324,RMSprop,14.190022879838944
